new_filename,old_filename,category,number,source_caption,source_organization,license,extension,used_by_story
1-2.jpg,1-2_MDL_표식물_1993_USAF.jpg,cat01,1-2,MDL 표식물,USAF,PD,jpg,s0102
1-3.jpg,1-3_DMZ_위성사진_NASA.jpg,cat01,1-3,DMZ 위성사진,NASA,PD,jpg,s0103
1-4.jpg,1-4_NNSC건물_JSA_2025_DVIDS9365309.jpg,cat01,1-4,NNSC건물 JSA,DVIDS,PD,jpg,s0104
1-5.jpg,1-5_JSA_ConferenceRow_2025_DVIDS8830815.jpg,cat01,1-5,JSA Conference Row,DVIDS,PD,jpg,s0105
1-6.jpg,1-6_벤하이강_히엔르엉다리_CCBYSA3.jpg,cat01,1-6,벤하이강 히엔르엉다리,Wikimedia,CCBYSA3,jpg,s0106
2-1.jpg,2-1_철원항공사진_1956_CCBY.jpg,cat02,2-1,철원 항공사진 1956,CCBY,CCBY,jpg,s0201
2-2.png,2-2_DMZ현재풍경_국립수목원.png,cat02,2-2,DMZ 현재풍경,국립수목원,저작권,png,s0202
2-3.jpg,2-3_두루미_문화재청.jpg,cat02,2-3,두루미,문화재청,KOGL,jpg,s0203
2-4.jpg,2-4_재두루미_문화재청.jpg,cat02,2-4,재두루미,문화재청,KOGL,jpg,s0204
2-5.jpeg,2-5_금강초롱꽃_국립백두대간수목원.jpeg,cat02,2-5,금강초롱꽃,국립백두대간수목원,저작권,jpeg,s0205
2-6.jpg,2-6_수원청개구리_CCBY4.jpg,cat02,2-6,수원청개구리,CCBY4,CCBY4,jpg,s0204
2-9.jpg,2-6_용늪_문화재청.jpg,cat02,2-9,용늪,문화재청,KOGL,jpg,
2-7.png,2-7_연천임진강생물권_UNESCO.png,cat02,2-7,연천임진강 생물권,UNESCO,UNESCO,png,s0207
2-8.png,2-8_강원생태평화생물권_UNESCO.png,cat02,2-8,강원생태평화 생물권,UNESCO,UNESCO,png,s0208
3-1.jpg,3-1_만월대_CCBYSA4.jpg,cat03,3-1,만월대,Wikimedia,CCBYSA4,jpg,s0301
3-2.jpg,3-2_경순왕릉_CCBYSA3.jpg,cat03,3-2,경순왕릉,Wikimedia,CCBYSA3,jpg,s0302
3-3.jpg,3-3_동의보감_PD.jpg,cat03,3-3,동의보감,PD,PD,jpg,s0303
3-4.jpg,3-4_호로고루_CCBYSA4.jpg,cat03,3-4,호로고루,Wikimedia,CCBYSA4,jpg,s0304
3-5.jpg,3-5_전곡리주먹도끼_CCBYSA4.jpg,cat03,3-5,전곡리 주먹도끼,Wikimedia,CCBYSA4,jpg,s0305
